-0.000238184 1 2 3 4.00024 
-0.000475276 1 2 3 4.00048 
-0.000711293 1 2 3 4.00071 
-0.000946246 1 2 3 4.00095 
-0.00118015 0.999998 2 3 4.00118 
-0.00141302 0.999995 2 3.00001 4.00141 
-0.00164486 0.99999 2 3.00001 4.00164 
-0.0018757 0.999985 2 3.00002 4.00188 
-0.00210554 0.999978 2 3.00002 4.00211 
-0.00233439 0.999971 2 3.00003 4.00233 
-0.00256227 0.999962 2 3.00004 4.00256 
-0.00278919 0.999953 2 3.00005 4.00279 
-0.00301516 0.999943 2 3.00006 4.00302 
-0.00324019 0.999932 2 3.00007 4.00324 
-0.00346429 0.99992 2 3.00008 4.00346 
-0.00368748 0.999907 2 3.00009 4.00369 
-0.00390977 0.999893 2 3.00011 4.00391 
-0.00413116 0.999879 2 3.00012 4.00413 
-0.00435166 0.999864 2 3.00014 4.00435 
-0.00457129 0.999847 2 3.00015 4.00457 
-0.00479006 0.99983 2 3.00017 4.00479 
-0.00500797 0.999813 2 3.00019 4.00501 
-0.00522504 0.999794 2 3.00021 4.00523 
-0.00544127 0.999775 2 3.00022 4.00544 
-0.00565668 0.999755 2 3.00024 4.00566 
-0.00587128 0.999734 2 3.00027 4.00587 
-0.00608506 0.999713 2 3.00029 4.00609 
-0.00629805 0.999691 2 3.00031 4.0063 
-0.00651024 0.999668 2 3.00033 4.00651 
-0.00672166 0.999645 2 3.00036 4.00672 
-0.0069323 0.99962 2 3.00038 4.00693 
-0.00714218 0.999596 2 3.0004 4.00714 
-0.0073513 0.99957 2 3.00043 4.00735 
-0.00755968 0.999544 2 3.00046 4.00756 
-0.00776731 0.999517 2 3.00048 4.00777 
-0.00797421 0.99949 2 3.00051 4.00797 
-0.00818038 0.999462 2 3.00054 4.00818 
-0.00838584 0.999434 2 3.00057 4.00839 
-0.00859059 0.999404 2 3.0006 4.00859 
-0.00879463 0.999375 2 3.00063 4.00879 
-0.00899798 0.999345 2 3.00066 4.009 
-0.00920063 0.999314 2 3.00069 4.0092 
-0.00940261 0.999282 2 3.00072 4.0094 
-0.00960391 0.99925 2 3.00075 4.0096 
-0.00980454 0.999218 2 3.00078 4.0098 
-0.0100045 0.999185 2 3.00081 4.01 
-0.0102038 0.999152 2 3.00085 4.0102 
-0.0104025 0.999118 2 3.00088 4.0104 
-0.0106005 0.999083 2 3.00092 4.0106 
-0.0107979 0.999048 2 3.00095 4.0108 
-0.0109946 0.999013 2 3.00099 4.01099 
-0.0111908 0.998977 2 3.00102 4.01119 
-0.0113863 0.998941 2 3.00106 4.01139 
-0.0115812 0.998904 2 3.0011 4.01158 
-0.0117754 0.998867 2 3.00113 4.01178 
-0.0119691 0.998829 2 3.00117 4.01197 
-0.0121622 0.998791 2 3.00121 4.01216 
-0.0123547 0.998753 2 3.00125 4.01235 
-0.0125466 0.998714 2 3.00129 4.01255 
-0.0127379 0.998674 2 3.00133 4.01274 
-0.0129287 0.998635 2 3.00137 4.01293 
-0.0131189 0.998595 2 3.00141 4.01312 
-0.0133085 0.998554 2 3.00145 4.01331 
-0.0134976 0.998513 2 3.00149 4.0135 
-0.0136861 0.998472 2 3.00153 4.01369 
-0.013874 0.99843 2 3.00157 4.01387 
-0.0140614 0.998388 2 3.00161 4.01406 
-0.0142483 0.998346 2 3.00165 4.01425 
-0.0144346 0.998303 2 3.0017 4.01443 
-0.0146204 0.99826 2 3.00174 4.01462 
-0.0148057 0.998217 2 3.00178 4.01481 
-0.0149904 0.998173 2 3.00183 4.01499 
-0.0151746 0.998129 2 3.00187 4.01517 
-0.0153583 0.998085 2 3.00192 4.01536 
-0.0155415 0.99804 2 3.00196 4.01554 
-0.0157242 0.997995 2 3.00201 4.01572 
-0.0159064 0.99795 2 3.00205 4.01591 
-0.0160881 0.997904 2 3.0021 4.01609 
-0.0162693 0.997858 2 3.00214 4.01627 
-0.01645 0.997812 2 3.00219 4.01645 
-0.0166302 0.997766 2 3.00223 4.01663 
-0.01681 0.997719 2 3.00228 4.01681 
-0.0169892 0.997672 2 3.00233 4.01699 
-0.017168 0.997624 2 3.00238 4.01717 
-0.0173463 0.997577 2 3.00242 4.01735 
-0.0175242 0.997529 2 3.00247 4.01752 
-0.0177016 0.997481 2 3.00252 4.0177 
-0.0178785 0.997433 2 3.00257 4.01788 
-0.018055 0.997384 2 3.00262 4.01805 
-0.018231 0.997335 2 3.00266 4.01823 
-0.0184065 0.997286 2 3.00271 4.01841 
-0.0185817 0.997237 2 3.00276 4.01858 
-0.0187563 0.997187 2 3.00281 4.01876 
-0.0189306 0.997138 2 3.00286 4.01893 
-0.0191044 0.997088 2 3.00291 4.0191 
-0.0192777 0.997038 2 3.00296 4.01928 
-0.0194507 0.996987 2 3.00301 4.01945 
-0.0196232 0.996937 2 3.00306 4.01962 
-0.0197953 0.996886 2 3.00311 4.0198 
-0.0199669 0.996835 2 3.00317 4.01997 
-0.0201382 0.996784 2 3.00322 4.02014 
-0.020309 0.996732 2 3.00327 4.02031 
-0.0204794 0.996681 2 3.00332 4.02048 
-0.0206494 0.996629 2 3.00337 4.02065 
-0.020819 0.996577 2 3.00342 4.02082 
-0.0209882 0.996525 2 3.00348 4.02099 
-0.021157 0.996472 2 3.00353 4.02116 
-0.0213254 0.99642 2 3.00358 4.02133 
-0.0214934 0.996367 2 3.00363 4.02149 
-0.021661 0.996314 2 3.00369 4.02166 
-0.0218282 0.996261 2 3.00374 4.02183 
-0.021995 0.996208 2 3.00379 4.022 
-0.0221615 0.996155 2 3.00385 4.02216 
-0.0223275 0.996101 2 3.0039 4.02233 
-0.0224932 0.996048 2 3.00395 4.02249 
-0.0226585 0.995994 2 3.00401 4.02266 
-0.0228235 0.99594 2 3.00406 4.02282 
-0.022988 0.995886 2 3.00411 4.02299 
-0.0231522 0.995832 2 3.00417 4.02315 
-0.023316 0.995777 2 3.00422 4.02332 
-0.0234795 0.995723 2 3.00428 4.02348 
-0.0236426 0.995668 2 3.00433 4.02364 
-0.0238053 0.995613 2 3.00439 4.02381 
-0.0239677 0.995558 2 3.00444 4.02397 
-0.0241297 0.995503 2 3.0045 4.02413 
-0.0242913 0.995448 2 3.00455 4.02429 
-0.0244526 0.995393 2 3.00461 4.02445 
-0.0246136 0.995338 2 3.00466 4.02461 
-0.0247742 0.995282 2 3.00472 4.02477 
-0.0249345 0.995227 2 3.00477 4.02493 
-0.0250944 0.995171 2 3.00483 4.02509 
-0.025254 0.995115 2 3.00488 4.02525 
-0.0254132 0.995059 2 3.00494 4.02541 
-0.0255721 0.995003 2 3.005 4.02557 
-0.0257307 0.994947 2 3.00505 4.02573 
-0.0258889 0.994891 2 3.00511 4.02589 
-0.0260468 0.994835 2 3.00517 4.02605 
-0.0262044 0.994778 2 3.00522 4.0262 
-0.0263616 0.994722 2 3.00528 4.02636 
-0.0265186 0.994665 2 3.00533 4.02652 
-0.0266752 0.994608 2 3.00539 4.02668 
-0.0268314 0.994552 2 3.00545 4.02683 
-0.0269874 0.994495 2 3.00551 4.02699 
-0.027143 0.994438 2 3.00556 4.02714 
-0.0272984 0.994381 2 3.00562 4.0273 
-0.0274534 0.994324 2 3.00568 4.02745 
-0.0276081 0.994266 2 3.00573 4.02761 
-0.0277624 0.994209 2 3.00579 4.02776 
-0.0279165 0.994152 2 3.00585 4.02792 
-0.0280703 0.994095 2 3.00591 4.02807 
-0.0282237 0.994037 2 3.00596 4.02822 
-0.0283769 0.99398 2 3.00602 4.02838 
-0.0285298 0.993922 2 3.00608 4.02853 
-0.0286823 0.993864 2 3.00614 4.02868 
-0.0288346 0.993807 2 3.00619 4.02883 
-0.0289865 0.993749 2 3.00625 4.02899 
-0.0291382 0.993691 2 3.00631 4.02914 
-0.0292895 0.993633 2 3.00637 4.02929 
-0.0294406 0.993575 2 3.00642 4.02944 
-0.0295914 0.993517 2 3.00648 4.02959 
-0.0297419 0.993459 2 3.00654 4.02974 
-0.0298921 0.993401 2 3.0066 4.02989 
-0.030042 0.993343 2 3.00666 4.03004 
-0.0301916 0.993284 2 3.00672 4.03019 
-0.030341 0.993226 2 3.00677 4.03034 
-0.03049 0.993168 2 3.00683 4.03049 
-0.0306388 0.99311 2 3.00689 4.03064 
-0.0307873 0.993051 2 3.00695 4.03079 
-0.0309355 0.992993 2 3.00701 4.03094 
-0.0310835 0.992934 2 3.00707 4.03108 
-0.0312311 0.992876 2 3.00712 4.03123 
-0.0313785 0.992817 2 3.00718 4.03138 
-0.0315257 0.992759 2 3.00724 4.03153 
-0.0316725 0.9927 2 3.0073 4.03167 
-0.0318191 0.992641 2 3.00736 4.03182 
-0.0319654 0.992583 2 3.00742 4.03197 
-0.0321115 0.992524 2 3.00748 4.03211 
-0.0322572 0.992465 2 3.00753 4.03226 
-0.0324028 0.992406 2 3.00759 4.0324 
-0.032548 0.992347 2 3.00765 4.03255 
-0.032693 0.992289 2 3.00771 4.03269 
-0.0328377 0.99223 2 3.00777 4.03284 
-0.0329822 0.992171 2 3.00783 4.03298 
-0.0331264 0.992112 2 3.00789 4.03313 
-0.0332704 0.992053 2 3.00795 4.03327 
-0.033414 0.991994 2 3.00801 4.03341 
-0.0335575 0.991935 2 3.00806 4.03356 
-0.0337007 0.991876 2 3.00812 4.0337 
-0.0338436 0.991817 2 3.00818 4.03384 
-0.0339863 0.991758 2 3.00824 4.03399 
-0.0341287 0.991699 2 3.0083 4.03413 
-0.0342709 0.99164 2 3.00836 4.03427 
-0.0344128 0.991581 2 3.00842 4.03441 
-0.0345545 0.991522 2 3.00848 4.03455 
-0.034696 0.991463 2 3.00854 4.0347 
-0.0348372 0.991403 2 3.0086 4.03484 
-0.0349781 0.991344 2 3.00866 4.03498 
-0.0351188 0.991285 2 3.00871 4.03512 
-0.0352593 0.991226 2 3.00877 4.03526 
-0.0353995 0.991167 2 3.00883 4.0354 
-0.0355395 0.991108 2 3.00889 4.03554 
-0.0356793 0.991049 2 3.00895 4.03568 
-0.0358188 0.990989 2 3.00901 4.03582 
-0.0359581 0.99093 2 3.00907 4.03596 
-0.0360971 0.990871 2 3.00913 4.0361 
-0.0362359 0.990812 2 3.00919 4.03624 
-0.0363745 0.990753 2 3.00925 4.03637 
-0.0365128 0.990693 2 3.00931 4.03651 
-0.0366509 0.990634 2 3.00937 4.03665 
-0.0367888 0.990575 2 3.00942 4.03679 
-0.0369265 0.990516 2 3.00948 4.03693 
-0.0370639 0.990457 2 3.00954 4.03706 
-0.0372011 0.990398 2 3.0096 4.0372 
-0.037338 0.990338 2 3.00966 4.03734 
-0.0374748 0.990279 2 3.00972 4.03747 
-0.0376113 0.99022 2 3.00978 4.03761 
-0.0377476 0.990161 2 3.00984 4.03775 
-0.0378837 0.990102 2 3.0099 4.03788 
-0.0380195 0.990043 2 3.00996 4.03802 
-0.0381552 0.989983 2 3.01002 4.03816 
-0.0382906 0.989924 2 3.01008 4.03829 
-0.0384257 0.989865 2 3.01013 4.03843 
-0.0385607 0.989806 2 3.01019 4.03856 
-0.0386955 0.989747 2 3.01025 4.0387 
-0.03883 0.989688 2 3.01031 4.03883 
-0.0389643 0.989629 2 3.01037 4.03896 
-0.0390984 0.98957 2 3.01043 4.0391 
-0.0392323 0.989511 2 3.01049 4.03923 
-0.039366 0.989452 2 3.01055 4.03937 
-0.0394995 0.989392 2 3.01061 4.0395 
-0.0396327 0.989333 2 3.01067 4.03963 
-0.0397658 0.989274 2 3.01073 4.03977 
-0.0398986 0.989215 2 3.01078 4.0399 
-0.0400312 0.989156 2 3.01084 4.04003 
-0.0401636 0.989097 2 3.0109 4.04016 
-0.0402959 0.989039 2 3.01096 4.0403 
-0.0404279 0.98898 2 3.01102 4.04043 
-0.0405597 0.988921 2 3.01108 4.04056 
-0.0406912 0.988862 2 3.01114 4.04069 
-0.0408226 0.988803 2 3.0112 4.04082 
-0.0409538 0.988744 2 3.01126 4.04095 
-0.0410848 0.988685 2 3.01131 4.04108 
-0.0412156 0.988626 2 3.01137 4.04122 
-0.0413462 0.988568 2 3.01143 4.04135 
-0.0414765 0.988509 2 3.01149 4.04148 
-0.0416067 0.98845 2 3.01155 4.04161 
-0.0417367 0.988391 2 3.01161 4.04174 
-0.0418665 0.988333 2 3.01167 4.04187 
-0.041996 0.988274 2 3.01173 4.042 
-0.0421254 0.988215 2 3.01178 4.04213 
-0.0422546 0.988157 2 3.01184 4.04225 
-0.0423836 0.988098 2 3.0119 4.04238 
-0.0425124 0.988039 2 3.01196 4.04251 
-0.042641 0.987981 2 3.01202 4.04264 
-0.0427694 0.987922 2 3.01208 4.04277 
-0.0428976 0.987864 2 3.01214 4.0429 
-0.0430257 0.987805 2 3.01219 4.04303 
-0.0431535 0.987747 2 3.01225 4.04315 
-0.0432811 0.987688 2 3.01231 4.04328 
-0.0434086 0.98763 2 3.01237 4.04341 
-0.0435359 0.987572 2 3.01243 4.04354 
-0.0436629 0.987513 2 3.01249 4.04366 
-0.0437898 0.987455 2 3.01255 4.04379 
-0.0439165 0.987397 2 3.0126 4.04392 
-0.044043 0.987338 2 3.01266 4.04404 
-0.0441694 0.98728 2 3.01272 4.04417 
-0.0442955 0.987222 2 3.01278 4.0443 
-0.0444214 0.987164 2 3.01284 4.04442 
-0.0445472 0.987105 2 3.01289 4.04455 
-0.0446728 0.987047 2 3.01295 4.04467 
-0.0447982 0.986989 2 3.01301 4.0448 
-0.0449234 0.986931 2 3.01307 4.04492 
-0.0450485 0.986873 2 3.01313 4.04505 
-0.0451733 0.986815 2 3.01318 4.04517 
-0.045298 0.986757 2 3.01324 4.0453 
-0.0454225 0.986699 2 3.0133 4.04542 
-0.0455468 0.986641 2 3.01336 4.04555 
-0.045671 0.986583 2 3.01342 4.04567 
-0.0457949 0.986526 2 3.01347 4.04579 
-0.0459187 0.986468 2 3.01353 4.04592 
-0.0460423 0.98641 2 3.01359 4.04604 
-0.0461658 0.986352 2 3.01365 4.04617 
-0.046289 0.986295 2 3.01371 4.04629 
-0.0464121 0.986237 2 3.01376 4.04641 
-0.046535 0.986179 2 3.01382 4.04653 
-0.0466577 0.986122 2 3.01388 4.04666 
-0.0467803 0.986064 2 3.01394 4.04678 
-0.0469027 0.986007 2 3.01399 4.0469 
-0.0470249 0.985949 2 3.01405 4.04702 
-0.0471469 0.985892 2 3.01411 4.04715 
-0.0472688 0.985834 2 3.01417 4.04727 
-0.0473905 0.985777 2 3.01422 4.04739 
-0.047512 0.985719 2 3.01428 4.04751 
-0.0476334 0.985662 2 3.01434 4.04763 
-0.0477545 0.985605 2 3.0144 4.04775 
-0.0478756 0.985548 2 3.01445 4.04788 
-0.0479964 0.98549 2 3.01451 4.048 
-0.0481171 0.985433 2 3.01457 4.04812 
-0.0482376 0.985376 2 3.01462 4.04824 
-0.048358 0.985319 2 3.01468 4.04836 
-0.0484781 0.985262 2 3.01474 4.04848 
-0.0485982 0.985205 2 3.0148 4.0486 
-0.048718 0.985148 2 3.01485 4.04872 
-0.0488377 0.985091 2 3.01491 4.04884 
-0.0489572 0.985034 2 3.01497 4.04896 
-0.0490766 0.984977 2 3.01502 4.04908 
-0.0491958 0.98492 2 3.01508 4.0492 
-0.0493148 0.984864 2 3.01514 4.04931 
-0.0494337 0.984807 2 3.01519 4.04943 
-0.0495524 0.98475 2 3.01525 4.04955 
-0.0496709 0.984693 2 3.01531 4.04967 
-0.0497893 0.984637 2 3.01536 4.04979 
-0.0499076 0.98458 2 3.01542 4.04991 
-0.0500256 0.984524 2 3.01548 4.05003 
-0.0501435 0.984467 2 3.01553 4.05014 
-0.0502613 0.984411 2 3.01559 4.05026 
-0.0503789 0.984354 2 3.01565 4.05038 
-0.0504963 0.984298 2 3.0157 4.0505 
-0.0506136 0.984241 2 3.01576 4.05061 
-0.0507307 0.984185 2 3.01581 4.05073 
-0.0508477 0.984129 2 3.01587 4.05085 
-0.0509645 0.984073 2 3.01593 4.05096 
-0.0510811 0.984016 2 3.01598 4.05108 
-0.0511976 0.98396 2 3.01604 4.0512 
-0.051314 0.983904 2 3.0161 4.05131 
-0.0514301 0.983848 2 3.01615 4.05143 
-0.0515462 0.983792 2 3.01621 4.05155 
-0.0516621 0.983736 2 3.01626 4.05166 
-0.0517778 0.98368 2 3.01632 4.05178 
-0.0518934 0.983624 2 3.01638 4.05189 
-0.0520088 0.983568 2 3.01643 4.05201 
-0.052124 0.983513 2 3.01649 4.05212 
-0.0522392 0.983457 2 3.01654 4.05224 
-0.0523541 0.983401 2 3.0166 4.05235 
-0.052469 0.983346 2 3.01665 4.05247 
-0.0525836 0.98329 2 3.01671 4.05258 
-0.0526981 0.983234 2 3.01677 4.0527 
-0.0528125 0.983179 2 3.01682 4.05281 
